funcid,dim,milestone,error
17,10,1,1.561204e+03
17,10,2,1.536759e+03
17,10,3,1.536759e+03
17,10,5,1.536759e+03
17,10,10,1.536759e+03
17,10,20,1.536759e+03
17,10,30,1.536759e+03
17,10,40,1.536759e+03
17,10,50,1.536759e+03
17,10,60,1.536759e+03
17,10,70,1.536759e+03
17,10,80,1.536759e+03
17,10,90,1.536759e+03
17,10,100,1.536759e+03
