funcid,dim,milestone,error
15,10,1,7.149480e+08
15,10,2,6.825522e+08
15,10,3,6.825519e+08
15,10,5,6.825519e+08
15,10,10,6.825519e+08
15,10,20,6.825519e+08
15,10,30,6.825519e+08
15,10,40,6.825519e+08
15,10,50,6.825519e+08
15,10,60,6.825519e+08
15,10,70,6.825519e+08
15,10,80,6.825519e+08
15,10,90,6.825519e+08
15,10,100,6.825519e+08
