funcid,dim,milestone,error
29,30,1,2.360147e+05
29,30,2,2.308503e+05
29,30,3,2.300217e+05
29,30,5,2.297721e+05
29,30,10,2.248755e+05
29,30,20,2.248755e+05
29,30,30,2.248755e+05
29,30,40,2.248755e+05
29,30,50,2.248755e+05
29,30,60,2.248755e+05
29,30,70,2.248755e+05
29,30,80,2.248755e+05
29,30,90,2.248755e+05
29,30,100,2.248755e+05
